Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,29502061428.4739
Sri Lanka,LKA,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,27892795103.2123
Sri Lanka,LKA,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,25770303382.7371
Sri Lanka,LKA,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,25146568842.0975
Sri Lanka,LKA,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,25104952770.5926
Sri Lanka,LKA,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,23391183951.525
Sri Lanka,LKA,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,23116841752.8012
Sri Lanka,LKA,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,23367560000
Sri Lanka,LKA,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16158620000
Sri Lanka,LKA,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12317800000
Sri Lanka,LKA,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16889300000
Sri Lanka,LKA,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13575480000
Sri Lanka,LKA,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12321220000
Sri Lanka,LKA,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10440959690
Sri Lanka,LKA,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9467940000
Sri Lanka,LKA,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8025320000
Sri Lanka,LKA,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7407150000
Sri Lanka,LKA,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7500950000
Sri Lanka,LKA,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8553893340.1707
Sri Lanka,LKA,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7198491436.2856
Sri Lanka,LKA,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7069557957.0178
Sri Lanka,LKA,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6973746645.0078
Sri Lanka,LKA,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6477489420.1993
Sri Lanka,LKA,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6342323614.6464
Sri Lanka,LKA,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5657652385.3714
Sri Lanka,LKA,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4636439203.231
Sri Lanka,LKA,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4085778186.0022
Sri Lanka,LKA,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3802983305.794
Sri Lanka,LKA,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3224493797.6468
Sri Lanka,LKA,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2842221240.0306
Sri Lanka,LKA,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2805438685.291
Sri Lanka,LKA,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2610062341.0347
Sri Lanka,LKA,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2469925016.7889
Sri Lanka,LKA,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2505714665.1349
Sri Lanka,LKA,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2274174810.0446
Sri Lanka,LKA,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2314614678.4857
Sri Lanka,LKA,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2322691899.6964
